Specimen,Maxilla_LDR,Dentary_LDR,Frontal_GL,Frontal_SW,Frontal_PW,Parietal_GW,Parietal_GL,Quadrate_GH,Occipital_complex_WC,Articular_WR,Scapulocoracoid_HG,Femur_GL,Humerus_GL,Pelvis_HA,Ilium_crest_GL,SVL,TL,Sex,species,genus
Sceloporus licki_TxVP_M-9814,7.63,9.21,6.74,1.62,5.78,NA,NA,4.71,2.63,2.81,1.94,16.69,13.4,1.93,7.17,82,189,male,Sceloporus licki,Sceloporus
Sceloporus licki_TxVP_M-9815,5.788,6.977,6.194,1.069,5.334,4.585,2.984,3.063,2.094,1.981,1.101,11.605,9.103,1.388,4.777,64,NA,female,Sceloporus licki,Sceloporus
Sceloporus clarkii_TxVP_M-12202,12.36,13.04,NA,2.41,10.27,5.69,NA,5.68,3.2,4.22,1.25,22.09,17.46,2.15,8.84,108,240,male,Sceloporus clarkii,Sceloporus
Sceloporus clarkii_TxVP_M-12157,10.29,11.29,9.16,2.46,8.25,5.45,2.71,5.5,2.67,3.13,1.94,17.58,14.36,3.41,8.12,100,NA,female,Sceloporus clarkii,Sceloporus
Sceloporus clarkii_TxVP_M-12159,11.09,9.22,9.15,2.9,9.23,5.51,3.07,5.74,2.94,4.19,1.55,21.86,16.45,3.23,9,113,257,male,Sceloporus clarkii,Sceloporus
Sceloporus clarkii_TxVP_M-12156,10.82,12.46,8.94,2.5,8.69,NA,NA,5.24,2.7,3.97,1.08,18.92,14.52,2.97,8.18,105,225,NA,Sceloporus clarkii,Sceloporus
Sceloporus occidentalis_TxVP_M-12179,6.84,7.17,5.9,1.29,4.9,4.14,2.29,3.56,NA,2.02,NA,11.42,8.8,NA,4.5,64,NA,NA,Sceloporus occidentalis,Sceloporus
Sceloporus clarkii_TxVP_M-8380,9.07,10.13,7.7,1.87,6.93,5.66,3.73,4.62,NA,2.26,0.88,14.82,10.56,2.66,6.38,70,NA,NA,Sceloporus clarkii,Sceloporus
Sceloporus orcutti_TxVP_M-12152,9.29,11.24,8.36,1.92,7.45,6.16,5.06,5.28,2.69,3.65,1.73,20.27,16.14,3.28,8.48,94,147,NA,Sceloporus orcutti,Sceloporus
Sceloporus orcutti_TxVP_M-8379,6.92,7.68,6.23,1.08,6.14,4.92,3.38,3.89,NA,NA,NA,12.33,9.65,NA,5.39,66,153,female,Sceloporus orcutti,Sceloporus
Sceloporus orcutti_TxVP_M-9819,9.25,10.61,8.29,1.63,7.67,NA,NA,5.28,2.78,3.25,1.97,17.81,13.2,2.84,8.47,98,214,female,Sceloporus orcutti,Sceloporus
Sceloporus orcutti_TxVP_M-12161,8.25,9.84,6.94,1.35,6.97,4.22,NA,4.84,NA,2.74,NA,16,12.44,NA,7.23,89,160,female,Sceloporus orcutti,Sceloporus
Sceloporus orcutti_TxVP_M-12155,6.18,10.13,NA,NA,NA,6.32,NA,4.97,2.43,3.44,1.85,17.1,13.34,3.14,8.2,100,216,male,Sceloporus orcutti,Sceloporus
Sceloporus orcutti_TxVP_M-9823,8.74,10.21,NA,1.57,8,5.35,NA,5.12,2.55,3.3,1.15,17.94,15.35,1.73,8.33,90,NA,female,Sceloporus orcutti,Sceloporus
Sceloporus orcutti_TxVP_M-9820,8.17,9.69,NA,1.4,7.8,5.16,NA,4.06,1.94,2.79,1.29,15.33,12.93,2.13,6.8,73,NA,female,Sceloporus orcutti,Sceloporus
Sceloporus virgatus_TxVP_M-12165,6.8,7.19,NA,1.4,5.61,4.49,NA,3.5,1.95,1.8,0.95,11.77,9.74,1.38,5.51,60,136,male,Sceloporus virgatus,Sceloporus
Sceloporus virgatus_TxVP_M-12163,5.6,7.16,NA,1.5,6.13,4.66,NA,3.16,1.61,2.16,0.71,11.61,9.57,1.32,5.65,63,135,female,Sceloporus virgatus,Sceloporus
Sceloporus virgatus_TxVP_M-12197,4.31,5.26,NA,1.09,4.66,4.08,NA,3.01,1.43,0.95,0.31,8.12,6.54,0.97,3.08,42,96,NA,Sceloporus virgatus,Sceloporus
Sceloporus virgatus_TxVP_M-12200,6.34,6.92,NA,1.38,6.64,4.04,3.3,3.53,1.79,2.2,0.73,11.58,9.53,1.44,5.69,63,111,female,Sceloporus virgatus,Sceloporus
Sceloporus virgatus_TxVP_M-12198,6.31,7.4,NA,1.34,6.11,4.65,NA,4.14,1.6,2.02,0.52,10.97,8.8,0.98,5.2,53,123,male,Sceloporus virgatus,Sceloporus
