Specimen,User,Maxilla_LDR,Dentary_LDR,Frontal_GL,Frontal_SW,Frontal_PW,Parietal_GW,Parietal_GL,Quadrate_GH,Occipital_complex_WC,Articular_WR,Scapulocoracoid_HG,Femur_GL,Humerus_GL,Pelvis_HA,Ilium_crest_GL,SVL,TL,Sex
Sceloporus magister_TMM_M-9816,JAK,11.16,12.68,,2.58,10.89,5.77,,7.06,3.31,4.94,1.64,23.7,18.96,4.04,7.37,114,,
Sceloporus magister_TMM_M-9816,JAK,11.44,12.65,,2.71,10.71,5.76,,6.97,3.35,4.82,1.78,23.39,19.05,3.86,8.2,114,,
Sceloporus magister_TMM_M-9816,JAK,10.9,12.42,,2.57,10.84,5.89,,6.97,3.24,4.83,1.76,23.62,19,3.42,7.9,114,,
Sceloporus magister_TMM_M-9816,JAK,11.51,13.24,,2.59,11.43,5.93,,6.76,3.28,4.88,1.69,23.47,19.03,3.59,7.97,114,,
Sceloporus magister_TMM_M-9816,JAK,10.76,12.98,,2.6,11.17,5.8,,6.36,3.34,4.89,1.86,23.88,19.06,4.07,7.76,114,,
Sceloporus magister_TMM_M-9816,JAK,10.93,12.84,,2.57,10.99,5.82,,6.74,3.19,4.9,1.74,23.77,19.08,3.6,7.83,114,,
Sceloporus magister_TMM_M-9816,DTL,11.14,12.68,,2.59,9.79,5.75,,6.67,2.98,4.86,1.96,23.87,19.21,2.91,7.84,114,,
Sceloporus magister_TMM_M-9816,DTL,11.18,12.65,,2.6,9.79,5.87,,6.68,3.13,4.89,2.24,23.88,18.99,3,7.79,114,,
Sceloporus magister_TMM_M-9816,DTL,11.15,12.71,,2.59,9.71,5.84,,6.66,2.85,4.88,2.08,23.81,18.94,2.95,7.83,114,,
Sceloporus magister_TMM_M-9816,DTL,11.16,12.83,,2.62,9.93,5.63,,6.76,2.84,4.92,1.95,23.83,18.88,2.82,7.81,114,,
Sceloporus magister_TMM_M-9816,DTL,11.15,12.6,,2.58,9.88,5.61,,6.75,2.86,4.91,2.17,23.81,19.03,2.99,7.76,114,,
Sceloporus jarrovii_TMM_M-9813,JAK,10.38,13.28,,2.06,8.49,6.34,,5.69,2.72,4.56,0.9,19.61,16.55,2.69,8.74,98,210,male
Sceloporus jarrovii_TMM_M-9813,JAK,10.41,12.19,,2.04,8.55,6.23,,6.11,2.46,5.07,1.15,19.87,16.06,3.04,9.07,98,210,male
Sceloporus jarrovii_TMM_M-9813,JAK,10.62,11.92,,2.01,8.68,6.05,,6.36,2.66,4.74,1.14,19.9,16.27,2.55,8.98,98,210,male
Sceloporus jarrovii_TMM_M-9813,JAK,11.17,12.55,,2.03,8.99,6.08,,5.51,2.39,4.75,0.89,19.8,16.21,2.19,9.01,98,210,male
Sceloporus jarrovii_TMM_M-9813,JAK,10.88,12.74,,1.95,8.87,6.11,,5.32,2.19,4.78,1.08,19.86,16.18,2.4,9.08,98,210,male
Sceloporus jarrovii_TMM_M-9813,JAK,10.24,12.16,,1.95,8.38,6.24,,5.14,2.45,4.62,1.18,20.91,16.19,2.72,8.82,98,210,male
Sceloporus jarrovii_TMM_M-9813,DTL,10.36,11.46,,2.01,8.06,6.33,,4.95,2.26,4.68,1.4,20.22,16.15,1.98,8.73,98,210,male
Sceloporus jarrovii_TMM_M-9813,DTL,10.55,11.45,,2,7.79,6.26,,5.19,2.58,4.67,1.53,20.11,16.41,2.16,8.91,98,210,male
Sceloporus jarrovii_TMM_M-9813,DTL,10.38,11.46,,2.01,7.79,6.28,,5.04,2.19,4.68,1.48,19.96,16.21,1.84,8.72,98,210,male
Sceloporus jarrovii_TMM_M-9813,DTL,10.29,11.38,,1.98,7.9,6.21,,5.02,2.29,4.78,1.47,20.04,16.17,1.94,8.91,98,210,male
Sceloporus jarrovii_TMM_M-9813,DTL,10.37,11.44,,1.96,7.97,6.3,,4.87,2.45,4.74,1.36,20.03,16.18,2.08,8.82,98,210,male
Sceloporus poinsettii_TMM_M-9826,JAK,8.92,9.68,,1.74,8.1,6.27,,5.15,2.64,3.39,1.69,17.11,14.1,2.22,6.92,75,,female
Sceloporus poinsettii_TMM_M-9826,JAK,9.43,9.76,,1.66,8.19,6.18,,5.33,2.12,3.27,1.16,16.51,13.95,2.41,7.25,75,,female
Sceloporus poinsettii_TMM_M-9826,JAK,9.07,9.79,,1.76,7.9,6.08,,5.36,2.64,3.04,1.23,17.04,14.04,2.61,7.04,75,,female
Sceloporus poinsettii_TMM_M-9826,JAK,9.28,9.66,,1.68,8.07,6.01,,5.12,2.49,3.09,1.66,17.07,14.13,2.75,7.06,75,,female
Sceloporus poinsettii_TMM_M-9826,JAK,9.22,9.64,,1.7,7.83,6.06,,5.06,2.26,3.07,1.22,17.18,14.07,2.67,7,75,,female
Sceloporus poinsettii_TMM_M-9826,JAK,9.21,9.39,,1.71,7.99,6.06,,5.04,2.24,3.2,1.13,17.17,14,2.8,7.13,75,,female
Sceloporus poinsettii_TMM_M-9826,DTL,8.69,9.42,,1.66,7.25,6.24,,4.89,2.24,3.06,1.5,17.09,14.07,1.87,6.86,75,,female
Sceloporus poinsettii_TMM_M-9826,DTL,8.79,9.5,,1.68,7.45,6.15,,4.82,2.25,2.95,1.68,16.97,14.03,2.09,6.83,75,,female
Sceloporus poinsettii_TMM_M-9826,DTL,8.81,9.41,,1.65,7.43,6.26,,5.11,2.36,2.9,1.53,17.1,13.99,1.9,7.11,75,,female
Sceloporus poinsettii_TMM_M-9826,DTL,8.9,9.4,,1.68,7.52,6.25,,4.84,2.27,2.92,1.53,16.92,14.15,1.91,7.07,75,,female
Sceloporus poinsettii_TMM_M-9826,DTL,8.8,8.88,,1.67,7.32,6.25,,4.92,2.19,2.84,1.67,17.11,14.09,2,7.1,75,,female
Sceloporus undulatus tristichus_TMM_M-9830,JAK,5.62,7.41,,1.32,5.49,4.28,,3.85,2.16,1.96,1.14,11.33,9.44,1.57,4.51,58,141,
Sceloporus undulatus tristichus_TMM_M-9830,JAK,5.97,6.74,,1.2,5.42,4.28,,3.71,1.77,1.99,0.93,11.6,9.33,2.09,4.65,58,141,
Sceloporus undulatus tristichus_TMM_M-9830,JAK,6.52,6.51,,1.19,5.56,4.25,,4.18,2.23,1.89,0.85,11.56,9.38,1.71,4.87,58,141,
