Specimen,Repeat,Maxilla_LDR,Dentary_LDR,Frontal_GL,Frontal_SW,Frontal_PW,Parietal_GW,Parietal_GL,Quadrate_GH,Occipital_complex_WC,Articular_WR,Scapulocoracoid_HG,Femur_GL,Humerus_GL,Pelvis_HA,Ilium_crest_GL,SVL,TL,Sex
Sceloporus magister_TMM_M-9816,Original,11.16,12.68,NA,2.58,10.89,5.77,NA,7.06,3.31,4.94,1.64,23.7,18.96,4.04,7.37,114mm,NA,NA
Sceloporus magister_TMM_M-9816,Re-measured 6/9/21,11.44,12.65,NA,2.71,10.71,5.76,NA,6.97,3.35,4.82,1.78,23.39,19.05,3.86,8.2,114mm,NA,NA
Sceloporus magister_TMM_M-9816,Re-measured 6/10/21,10.9,12.42,NA,2.57,10.84,5.89,NA,6.97,3.24,4.83,1.76,23.62,19,3.42,7.9,114mm,NA,NA
Sceloporus magister_TMM_M-9816,Re-measured 6/11/21,11.51,13.24,NA,2.59,11.43,5.93,NA,6.76,3.28,4.88,1.69,23.47,19.03,3.59,7.97,114mm,NA,NA
Sceloporus magister_TMM_M-9816,Re-measured 6/14/21,10.76,12.98,NA,2.6,11.17,5.8,NA,6.36,3.34,4.89,1.86,23.88,19.06,4.07,7.76,114mm,NA,NA
Sceloporus magister_TMM_M-9816,Re-measured 6/15/21,10.93,12.84,NA,2.57,10.99,5.82,NA,6.74,3.19,4.9,1.74,23.77,19.08,3.6,7.83,114mm,NA,NA
Sceloporus jarrovii_TMM_M-9813,Original,10.38,13.28,NA,2.06,8.49,6.34,NA,5.69,2.72,4.56,0.9,19.61,16.55,2.69,8.74,98mm,210mm,male
Sceloporus jarrovii_TMM_M-9813,Re-measured 6/9/21,10.41,12.19,NA,2.04,8.55,6.23,NA,6.11,2.46,5.07,1.15,19.87,16.06,3.04,9.07,98mm,210mm,male
Sceloporus jarrovii_TMM_M-9813,Re-measured 6/10/21,10.62,11.92,NA,2.01,8.68,6.05,NA,6.36,2.66,4.74,1.14,19.9,16.27,2.55,8.98,98mm,210mm,male
Sceloporus jarrovii_TMM_M-9813,Re-measured 6/11/21,11.17,12.55,NA,2.03,8.99,6.08,NA,5.51,2.39,4.75,0.89,19.8,16.21,2.19,9.01,98mm,210mm,male
